BFI,annual_Q_mean,Q5_mean,Q5_std,Q25_mean,Q25_std,Q50_mean,Q50_std,Q75_mean,Q75_std,Q95_mean,Q95_std,Jan_Q_mean,Feb_Q_mean,Mar_Q_mean,Apr_Q_mean,May_Q_mean,Jun_Q_mean,Jul_Q_mean,Aug_Q_mean,Sep_Q_mean,Oct_Q_mean,Nov_Q_mean,Dec_Q_mean
-0.16644,0.47499,-0.46730,0.34371,0.21299,1.11020,0.66764,0.97632,0.73694,0.70034,0.87310,0.66018,0.75862,0.73893,1.04643,0.93782,0.46034,0.18382,-0.03837,-0.13092,-0.11440,0.29518,0.70604,0.98932
-0.22203,0.74184,-0.42749,0.39352,0.35194,1.24382,0.83899,1.22413,0.91231,1.22956,0.90533,0.91697,0.63937,0.58460,1.07857,1.37577,0.79030,0.44075,0.23600,0.25532,0.41530,0.76383,1.26361,1.12990
1.84525,0.54043,0.05726,-0.21836,-0.11840,-0.57284,-0.49279,-0.91425,-0.94133,-1.44489,-1.51051,-1.79167,0.99870,1.01022,1.15227,0.92271,0.43158,0.15354,-0.05792,-0.11706,-0.21158,0.25437,0.60743,1.14284
-0.82454,0.35504,-0.71156,-0.36547,-0.42954,0.13595,-0.13661,0.18254,0.09478,0.39725,1.04241,1.06788,-0.28347,-0.57841,-0.18697,1.19520,1.06826,0.67180,0.40582,0.24121,0.29977,0.55995,0.81802,0.22345
-0.39406,-0.11067,-0.38422,0.04743,-0.02868,0.25940,0.11152,0.05938,0.10343,0.13736,0.45484,0.27433,-0.51704,-0.63491,0.07737,0.93405,0.44397,0.10980,-0.14538,-0.29777,-0.36391,-0.11312,-0.03444,-0.23178
-0.24981,0.57488,-0.58005,0.00000,-0.40267,0.00000,0.09334,0.00000,0.11204,0.00000,0.41062,0.00000,0.28590,0.12365,0.67363,1.29681,0.77048,0.50628,0.37085,0.38580,0.55234,0.71150,0.99573,0.76363
-0.24426,0.43296,0.61955,1.05101,0.66260,0.62912,0.52640,0.46556,0.30163,0.27221,0.13673,0.67100,0.68067,0.73377,0.99941,0.82085,0.36586,0.04773,-0.06784,-0.17371,0.11395,0.36343,0.80467,0.95382
-0.29978,0.62048,0.75424,1.18622,0.87091,1.36661,1.00432,2.28483,1.09585,2.48967,0.92277,1.46156,0.69429,0.63357,1.04104,1.04895,0.60390,0.29772,0.22110,0.17748,0.42366,0.67899,1.05789,1.05644
-0.41622,0.91418,-0.92620,-0.61315,-0.82068,-0.23426,-0.45483,1.02901,-0.16800,1.51725,0.32002,1.52228,0.57749,0.35615,0.90683,1.52889,1.00783,0.71843,0.58014,0.63605,0.83698,1.09986,1.49831,1.12471
-0.40514,0.74234,-0.14697,0.07709,0.30722,1.05132,0.67819,1.02901,0.75031,1.01803,0.80768,0.97470,0.55170,0.42810,0.92184,1.34405,0.82923,0.52436,0.37408,0.42161,0.61613,0.86857,1.28091,1.03245
-0.45498,0.69748,-0.16695,1.18622,0.23937,1.62337,0.50438,1.97180,0.56426,1.49743,0.49172,0.99364,0.64215,0.54578,0.98662,1.19869,0.72492,0.43351,0.32450,0.33579,0.54868,0.79752,1.18167,1.06704
-0.25537,0.47582,0.86525,1.37953,0.92333,1.30573,0.85811,0.95413,0.62071,0.64058,0.61888,0.56068,0.68340,0.71302,0.99210,0.82280,0.40859,0.10022,0.02726,-0.03144,0.22141,0.47650,0.88385,1.00557
-1.19668,0.41900,0.08495,0.03174,0.09925,-0.11139,-0.02428,-0.14718,-0.10500,-0.16602,0.68830,0.44525,0.72666,0.80005,1.00851,0.73775,0.35280,0.01370,-0.03355,-0.06349,0.10827,0.27495,0.68520,0.92899
-1.27831,0.40216,-0.21605,0.39352,-0.02329,0.24213,-0.01931,-0.00141,-0.05787,-0.00025,0.73783,0.57194,0.73469,0.82010,0.99028,0.70144,0.32187,-0.01425,-0.06287,-0.06349,0.10827,0.25955,0.65365,0.92067
-0.14418,0.55169,0.37018,0.86849,0.56292,0.80481,0.61386,0.93627,0.44757,0.74350,0.51826,0.78686,0.59735,0.55416,0.96272,1.01415,0.56831,0.27580,0.17893,0.16214,0.37680,0.60741,0.97368,0.95931
-1.17488,0.36190,-0.74350,-0.11017,-0.33663,0.23345,0.02300,0.33844,0.20467,0.46618,0.85539,1.08608,0.63381,0.62007,0.88417,0.68516,0.31515,0.02401,-0.01445,-0.03144,0.23154,0.30018,0.66772,0.86172
